"vs" "exempt_group" "country" "ets_sector" "sec4dig" "carb_int" "trade_int" "ets"
"158" 5 "C" "Germany" "Wood&Paper" 2112 10.1647443771362 25.7127914428711 1
"159" 5 "not exempt" "Germany" "Food/Tobacco" 1531 1.18021714687347 5.97214794158936 1
"160" NA "C" "Germany" "Glass" 2613 7.29849815368652 24.1440753936768 1
"161" 3 "B & CI<5" "Germany" "Glass" 2615 2.3135073184967 49.1769599914551 1
"162" 1 "B & CI<5" "Germany" "FabricatedMetals" 2862 0.486748784780502 42.4551658630371 0
"163" 1 "C" "Germany" "Wood&Paper" 2112 10.1473512649536 25.6350269317627 1
"164" 1 "not exempt" "Germany" "Machinery&Optics" 2972 2.54942631721497 28.32936668396 0
"165" 5 "not exempt" "Germany" "OtherMinerals" 2682 1.63054251670837 17.9570941925049 1
"166" 5 "B & CI<5" "Germany" "Glass" 2615 2.57218313217163 49.1558151245117 1
"167" 1 "C" "Germany" "Glass" 2613 7.34478950500488 24.4436321258545 1
"168" NA "C" "Germany" "Glass" 2613 7.27113962173462 24.2430515289307 1
"169" 4 "A" "Germany" "Cement" 2651 45.4813766479492 6.73302793502808 1
"170" 1 "not exempt" "Germany" "Cement" 2640 9.8586950302124 2.79302263259888 1
"171" 5 "C" "Germany" "Wood&Paper" 2112 10.1415243148804 25.8131999969482 1
"172" 1 "C" "Germany" "Fuels" 2320 11.6765842437744 16.1716766357422 1
"173" 5 "A" "Germany" "Cement" 2651 45.3488082885742 6.79591608047485 1
"174" 1 "not exempt" "Germany" "Vehicles" 3410 0.50811767578125 28.9625377655029 1
"175" NA "C" "Germany" "Wood&Paper" 2112 10.2213439941406 25.7941455841064 1
"176" 5 "C" "Germany" "Wood&Paper" 2112 10.1282472610474 25.7847709655762 1
"177" 1 "B & CI<5" "Germany" "Wood&Paper" 2111 2.421147108078 46.0474052429199 1
"178" 2 "not exempt" "Germany" "Glass" 2612 2.43187999725342 13.4542140960693 1
"179" 5 "C" "Germany" "Food/Tobacco" 1583 5.58527565002441 19.3927764892578 1
