"sec4dig" "carb_int" "trade_int" "n_install" "emp" "co2" "firm_sec"
"301" 2414 5.48951387405396 46.2080535888672 1 1113.25 86231 1
"302" 2511 1.70911419391632 37.0554237365723 1 2374.66674804688 22390.5 1
"303" 2112 10.1396350860596 25.6636638641357 1 375 9489 1
"304" 2112 10.2379102706909 25.7193622589111 3 750 46067 1
"305" 2613 7.32284307479858 24.3837413787842 1 750 9729.5 1
"306" 2615 2.29940342903137 49.1900405883789 1 1750 19363.5 1
"307" 2614 3.60771059989929 23.582103729248 2 1250 81870.5 1
"308" 1740 0.235999137163162 46.7099342346191 1 375 9999.5 1
"309" 2640 9.99121570587158 2.65405559539795 10 451.75 118315 1
"310" 2020 3.59438371658325 23.9861164093018 1 698.666687011719 9746.5 1
"311" 3420 0.292562276124954 10.3911619186401 1 27564.5 15024.5 1
"312" 3220 0.0704470872879028 77.0371170043945 2 1250 7988.5 1
"313" 2752 1.87276709079742 0 2 1416.66662597656 8168.5 1
"314" 2710 10.6823778152466 32.2216491699219 1 750 42229.5 1
"315" 2664 2.33059167861938 2.21410632133484 1 225 47896.5 1
"316" 1571 1.54347884654999 2.78814148902893 1 150 13255.5 1
"317" 2451 2.42039728164673 23.183313369751 1 623.75 7419 1
"318" 2611 8.02351188659668 20.8731632232666 3 1888 342281 1
"319" 2613 7.35965061187744 24.4154071807861 2 750 98301 1
"320" 2615 2.32018065452576 49.2720756530762 1 300 39290 1
"321" 2651 45.4743423461914 6.76523303985596 1 185.66667175293 528451 1
"322" 2112 10.2752504348755 25.7336692810059 1 150 3914.5 1
"323" 2651 45.3743476867676 6.94435977935791 1 375.333343505859 584827 1
"324" 2651 45.4376754760742 6.79925346374512 1 167.33332824707 692211.5 1
"325" 1583 5.31552028656006 19.5090236663818 3 375 121435 1
"326" 2626 3.00826120376587 37.1882629394531 2 791 34891 1
"327" 2615 2.34480690956116 49.1050796508789 1 168.75 10587 1
"328" 2521 1.27224147319794 20.4852828979492 1 1688 9388 1
"329" 2640 9.87889099121094 2.63615369796753 1 15 2141 1
"330" 2710 10.634298324585 32.3336601257324 1 5519 2686858.5 1
"331" 2640 9.8853874206543 2.76908540725708 1 7 784.5 1
"332" 2751 17.4464740753174 0 1 75 3795 1
"333" 1543 0.946370542049408 7.87686252593994 1 1226.66662597656 10788.5 1
"334" 2466 1.83940029144287 49.6372756958008 1 934.5 387933.5 1
"335" 2121 1.81282043457031 5.14190578460693 1 625 17702.5 1
"336" 2112 10.0494575500488 25.7273139953613 1 625 34749 1
"337" 2640 9.7795467376709 2.74495267868042 1 75 7914.5 1
"338" 2830 0.799062609672546 12.6056451797485 1 750 3061 1
"339" 2630 17.5606174468994 28.7606315612793 6 3369 173447 1
"340" 3520 0.233634203672409 16.1440124511719 0.25 73.375 162008.5 0.25
"341" 1511 0.931446969509125 10.9919242858887 0.25 73.375 162008.5 0.25
"342" 2626 2.77369928359985 37.2209281921387 0.25 73.375 162008.5 0.25
"343" 2620 NA 0 0.25 73.375 162008.5 0.25
"344" 3630 2.52977156639099 78.2396545410156 1 275 0 1
"345" 2640 9.88136672973633 2.55283904075623 1 3 1178 1
